sender,receiver,bytes,queued_ts,delivered_ts,send_ts_start,send_duration_s,transfer_time_s
54:BF:64:2F:A0:A3,2A:57:40:8C:D8:95,26536071,1783607818.2704904,1783607818.270476,1783607705.2060237,,113.06445240974426
2A:57:40:8C:D8:95,54:BF:64:2F:A0:A3,26536071,1783609920.3894925,1783609920.3894835,1783604209.178349,,5711.211134433746
